,ID,NumOfTweets,NumOfFollowers,NumOfFollowing,NumOfFavourites,NumOfTweetsPerDay,RetweetCount,ReplyCount,ProfilePic,O,C,E,A,N,O_Sc,C_Sc,E_Sc,A_Sc,N_Sc
16,497264558,835,419,426,10184,10,594,1647,http://pbs.twimg.com/profile_images/1050125901755756544/oYfOiaqq_normal.jpg,1,1,1,1,0,84,84,84,96,36
78,752244335090012161,77,342,279,7070,28,33,67,http://pbs.twimg.com/profile_images/875419827631947776/Pk9KWGg4_normal.jpg,0,1,1,0,1,28,64,64,52,64
79,788889677394739204,82,475,329,3018,66,44,67,http://pbs.twimg.com/profile_images/789051333823332352/-h2eCZJh_normal.jpg,1,1,1,1,1,76,64,80,80,68
61,1101552122,37,261,176,4408,11,112,39,http://pbs.twimg.com/profile_images/799237685755998212/BXstD25p_normal.jpg,1,0,1,0,1,60,52,64,56,76
41,588392444,166,356,66,545,0,84,169,http://pbs.twimg.com/profile_images/859878937471660033/vzf2pu-5_normal.jpg,1,1,0,1,0,64,72,56,84,52
90,2370490057,7,7,279,2,0,3,3,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,1,1,1,1,0,68,68,64,64,36
35,2842266869,50,881,200,12234,0,12,52,http://pbs.twimg.com/profile_images/1053214336813023232/Lpw4SRZq_normal.jpg,1,1,0,1,0,92,72,36,84,24
75,2380993296,53,260,168,2242,18,51,85,http://pbs.twimg.com/profile_images/867641555053576192/D3fq9_dE_normal.jpg,1,0,1,1,0,72,52,76,96,48
84,626214690,35,21,140,0,0,0,0,http://pbs.twimg.com/profile_images/538039634186342401/HTmgEzSH_normal.jpeg,1,1,0,1,0,100,68,48,64,40
76,337697790,134,146,139,445,1,7,48,http://pbs.twimg.com/profile_images/865692380934152192/LfvQSsPq_normal.jpg,1,1,0,1,0,64,60,52,80,52
70,1890427729,49,712,410,8149,50,30,116,http://pbs.twimg.com/profile_images/863557304410677248/Tg0quLKf_normal.jpg,1,1,1,1,0,76,76,92,80,32
4,353027542,41,4,8,6,0,9,0,http://pbs.twimg.com/profile_images/902520738493628416/r3qU0kuj_normal.jpg,1,0,0,1,1,76,52,52,68,60
28,838664264386756608,630,469,407,12984,2,293,252,http://pbs.twimg.com/profile_images/976259971305431040/5NHDUAq9_normal.jpg,1,0,1,1,0,76,36,60,88,32
37,3881361814,940,303,32,1012,1,85,715,http://pbs.twimg.com/profile_images/1045324816872550400/624ZShbs_normal.jpg,1,1,0,1,0,64,92,36,84,20
38,553933621,1582,335,294,1811,2,460,276,http://pbs.twimg.com/profile_images/984436410433392641/XQCwItJu_normal.jpg,1,1,1,1,1,72,72,60,80,68
32,76986840,464,717,396,6710,3,533,1305,http://pbs.twimg.com/profile_images/1038394795088072704/JCySpYdJ_normal.jpg,1,1,1,1,1,88,72,60,68,76
47,542842235,268,194,209,1508,0,686,260,http://pbs.twimg.com/profile_images/1056610044257751041/gUq09v5N_normal.jpg,0,0,0,1,1,56,44,24,64,96
67,868990123,53,540,302,4732,12,30,110,http://pbs.twimg.com/profile_images/866673546130599937/zsRjCff__normal.jpg,1,1,1,1,0,88,72,68,96,44
20,3377874231,15,14,196,38,0,4,0,http://pbs.twimg.com/profile_images/621438295705317377/fU215lBj_normal.jpg,1,1,0,1,1,72,68,44,84,60
18,921315638,1849,414,239,3350,4,45,555,http://pbs.twimg.com/profile_images/944165299565268992/QFuI1yQX_normal.jpg,1,0,0,1,1,64,52,36,88,84
12,1541625925,3026,785,377,245,2,126,10,http://pbs.twimg.com/profile_images/760993110960799744/zWfrmqEZ_normal.jpg,1,0,1,1,1,80,48,92,64,88
55,829279801,66,627,338,1103,0,38,85,http://pbs.twimg.com/profile_images/858089815430004738/6XgJdGMH_normal.jpg,1,0,0,0,0,76,48,52,52,56
15,1550666071,1498,2511,719,1728,3,956,454,http://pbs.twimg.com/profile_images/1025150467431641090/iy1BNkW1_normal.jpg,1,1,1,1,1,72,60,68,76,68
2,1051504637608628231,5,1,4,1,0,2,0,http://pbs.twimg.com/profile_images/1051505731680251905/_QM8g0Ls_normal.jpg,1,0,0,1,1,60,44,24,72,68
3,2876596989,52,231,220,2,0,1,1,http://pbs.twimg.com/profile_images/829516177047158786/5YwekTWe_normal.jpg,0,1,0,0,0,44,76,40,56,40
82,43372705,26,167,425,11,9,1,0,http://pbs.twimg.com/profile_images/799459217/egypt_normal.JPG,1,0,1,1,0,68,56,60,84,52
43,582160672,1237,211,93,3101,1,171,776,http://pbs.twimg.com/profile_images/1033973314316902402/VwLCE72Z_normal.jpg,0,1,0,1,0,52,72,44,100,32
53,1249584306,79,632,324,2811,2,4,107,http://pbs.twimg.com/profile_images/835196702629974019/YAbfen7f_normal.jpg,1,0,1,0,1,68,48,60,56,64
46,2587973952,40,257,495,2306,0,91,187,http://pbs.twimg.com/profile_images/808037818194923526/6RCKHKx6_normal.jpg,1,1,1,1,0,84,88,72,64,52
69,2990016615,34,470,167,1913,12,41,108,http://pbs.twimg.com/profile_images/850335370805993472/peR1wQkN_normal.jpg,1,1,1,1,1,80,64,80,76,60
89,116151053,13,2,36,16,0,0,1,http://pbs.twimg.com/profile_images/2304353850/1tmy29ua8tmb7xtvslpe_normal.jpeg,0,1,1,1,1,56,64,64,72,60
56,4539951389,71,1709,136,89,6,58,55,http://pbs.twimg.com/profile_images/874279815439953920/VLYQhDgV_normal.jpg,1,0,0,1,0,88,56,56,60,44
